id;start_date;end_date;language
1;2020-10-19T18:29:51;2020-10-19T16:20:06;SPANISH
2;2020-10-18T23:20:02;2020-10-19T18:24:27;SPANISH
3;2020-10-19T14:15:21;2020-10-19T00:49:30;FRENCH
4;2020-10-19T05:32:52;2020-10-19T17:04:18;FRENCH
5;2020-10-19T15:03:10;2020-10-19T19:50:09;FRENCH
6;2020-10-19T08:55:31;2020-10-19T21:03:45;FRENCH
7;2020-10-19T10:40:51;2020-10-19T04:31:42;FRENCH
8;2020-10-19T09:37:04;2020-10-19T19:53:12;SPANISH
9;2020-10-19T08:18:13;2020-10-19T04:59:36;SPANISH
10;2020-10-19T16:30:17;2020-10-19T03:04:47;SPANISH
